Sygnatura czasowa,Age,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Frequency [Folk],Anxiety,Depression,Insomnia,OCD,Music effects
2023-05-16 16:31:56,21,1,Tak,Tak,Nie,Pop,Nie,Nie,,czasem,rzadko,rzadko,rzadko,czasem,rzadko,rzadko,czasem,rzadko,rzadko,bardzo często,rzadko,czasem,czasem,rzadko,rzadko,4,0,0,0,Nie odczuwam żadnych efektów
2023-05-16 16:41:41,20,2,Tak,Nie,Nie,Pop,Nie,Tak,,rzadko,czasem,nigdy,rzadko,nigdy,czasem,nigdy,czasem,nigdy,nigdy,często,czasem,rzadko,nigdy,nigdy,nigdy,8,4,6,0,Poprawia
2023-05-16 16:42:42,19,3,Tak,Nie,Nie,Rock,Nie,Tak,20,często,nigdy,rzadko,czasem,czasem,często,nigdy,nigdy,nigdy,często,czasem,nigdy,czasem,często,często,rzadko,0,0,3,2,Poprawia
2023-05-16 16:43:16,20,1,Tak,Nie,Nie,Pop,Nie,Tak,Okolo 100,rzadko,rzadko,czasem,rzadko,często,często,czasem,często,rzadko,nigdy,bardzo często,rzadko,często,często,rzadko,rzadko,5,2,2,0,Poprawia
2023-05-16 16:46:58,47,1,Nie,Nie,Nie,Pop,Nie,Nie,10,czasem,nigdy,rzadko,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,rzadko,często,nigdy,nigdy,czasem,nigdy,rzadko,33,3,3,3,Poprawia
2023-05-16 16:54:07,20,4,Tak,Nie,Nie,Pop,Nie,Nie,Nie wiem ,rzadko,rzadko,czasem,rzadko,czasem,rzadko,czasem,rzadko,rzadko,często,bardzo często,czasem,czasem,bardzo często,czasem,rzadko,3,2,0,2,Poprawia
2023-05-16 17:09:47,21,2,Tak,Tak,Tak,Pop,Tak,Tak,121,czasem,bardzo często,nigdy,nigdy,czasem,często,nigdy,czasem,czasem,nigdy,bardzo często,rzadko,czasem,nigdy,nigdy,często,0,0,0,0,Poprawia
2023-05-16 17:46:44,13,5,Tak,Nie,Nie,Pop,Nie,Nie,Trudno mi stwierdzić,rzadko,rzadko,często,rzadko,czasem,nigdy,rzadko,rzadko,nigdy,rzadko,często,nigdy,rzadko,nigdy,czasem,bardzo często,4,2,2,3,Poprawia
"2023-05-16 19:23:52,46,""0,2"",Tak,Tak,Nie,Pop,Nie,Nie,A skąd mam to wiedzieć?,czasem,nigdy,nigdy,czasem,nigdy,czasem,nigdy,rzadko,nigdy,nigdy,często,nigdy,nigdy,rzadko,nigdy,czasem,3,0,0,0,Nie odczuwam żadnych efektów"
2023-05-16 19:28:58,18,2,Nie,Nie,Nie,Pop,Tak,Tak,Nwm,rzadko,rzadko,nigdy,rzadko,nigdy,nigdy,rzadko,nigdy,nigdy,nigdy,bardzo często,nigdy,rzadko,nigdy,rzadko,nigdy,1,1,4,0,Nie odczuwam żadnych efektów
